# step avg_reward percentage_opt_action
676 1.339616 0.692000
677 1.323203 0.700000
678 1.316184 0.696000
679 1.293730 0.703000
680 1.304580 0.695000
681 1.390971 0.692000
682 1.298476 0.699000
683 1.293912 0.690000
684 1.312358 0.701000
685 1.286782 0.692000
686 1.295912 0.682000
687 1.372039 0.691000
688 1.283328 0.701000
689 1.346095 0.684000
690 1.306018 0.697000
691 1.332658 0.695000
692 1.279873 0.700000
693 1.354182 0.722000
694 1.324594 0.695000
695 1.290439 0.699000
696 1.331494 0.699000
697 1.309055 0.713000
698 1.339384 0.697000
699 1.277852 0.710000
700 1.302647 0.691000
701 1.255080 0.697000
702 1.268116 0.696000
703 1.337319 0.702000
704 1.343683 0.697000
705 1.289543 0.689000
706 1.334934 0.704000
707 1.293044 0.710000
708 1.347239 0.715000
709 1.310257 0.696000
710 1.381767 0.713000
711 1.387920 0.722000
712 1.318580 0.710000
713 1.322395 0.696000
714 1.309528 0.715000
715 1.323048 0.703000
716 1.285608 0.705000
717 1.383180 0.711000
718 1.334358 0.706000
719 1.284096 0.714000
720 1.273501 0.700000
721 1.331847 0.708000
722 1.334341 0.717000
723 1.246901 0.713000
724 1.332383 0.707000
725 1.295908 0.716000
726 1.377590 0.709000
727 1.335004 0.717000
728 1.309082 0.704000
729 1.391956 0.725000
730 1.292865 0.709000
731 1.286023 0.707000
732 1.286244 0.705000
733 1.368653 0.714000
734 1.345784 0.712000
735 1.302716 0.722000
736 1.272756 0.708000
737 1.396623 0.721000
738 1.252383 0.704000
739 1.300300 0.708000
740 1.327735 0.716000
741 1.257575 0.696000
742 1.375317 0.716000
743 1.300261 0.714000
744 1.367005 0.715000
745 1.321468 0.716000
746 1.318291 0.700000
747 1.335059 0.719000
748 1.306883 0.712000
749 1.295087 0.713000
750 1.347583 0.716000
751 1.364736 0.721000
752 1.321340 0.726000
753 1.291735 0.727000
754 1.326296 0.712000
755 1.346625 0.715000
756 1.296415 0.704000
757 1.329323 0.712000
758 1.348176 0.712000
759 1.323549 0.713000
760 1.288267 0.713000
761 1.337666 0.713000
762 1.347228 0.708000
763 1.273837 0.708000
764 1.309451 0.708000
765 1.324726 0.715000
766 1.327581 0.714000
767 1.290512 0.716000
768 1.346779 0.721000
769 1.370733 0.722000
770 1.298335 0.696000
771 1.293308 0.713000
772 1.275773 0.711000
773 1.310205 0.723000
774 1.314097 0.721000
775 1.344895 0.710000
776 1.304759 0.719000
777 1.365620 0.727000
778 1.373671 0.739000
779 1.331302 0.728000
780 1.338429 0.722000
781 1.317979 0.715000
782 1.270314 0.714000
783 1.304327 0.717000
784 1.325516 0.724000
785 1.272228 0.720000
786 1.303001 0.712000
787 1.394042 0.711000
788 1.296275 0.718000
789 1.270433 0.722000
790 1.271097 0.709000
791 1.288660 0.713000
792 1.344862 0.739000
793 1.295861 0.720000
794 1.387489 0.731000
795 1.340532 0.722000
796 1.283377 0.723000
797 1.353389 0.728000
798 1.387191 0.729000
799 1.326668 0.736000
800 1.279502 0.724000
801 1.310431 0.728000
802 1.292269 0.717000
803 1.347069 0.730000
804 1.315303 0.724000
805 1.295116 0.722000
806 1.348352 0.728000
807 1.324016 0.721000
808 1.349867 0.728000
809 1.312740 0.725000
810 1.306657 0.725000
811 1.292563 0.723000
812 1.291138 0.722000
813 1.387874 0.721000
814 1.343793 0.723000
815 1.333727 0.720000
816 1.324776 0.724000
817 1.410472 0.727000
818 1.355965 0.733000
819 1.360888 0.742000
820 1.353343 0.737000
821 1.341748 0.723000
822 1.314704 0.745000
823 1.314618 0.734000
824 1.350553 0.726000
825 1.285473 0.727000
826 1.297440 0.726000
827 1.286423 0.735000
828 1.326326 0.736000
829 1.262554 0.718000
830 1.382958 0.736000
831 1.317808 0.730000
832 1.329952 0.727000
833 1.334571 0.739000
834 1.310049 0.739000
835 1.304970 0.735000
836 1.340859 0.732000
837 1.346044 0.735000
838 1.360376 0.757000
839 1.304404 0.738000
840 1.282878 0.722000
841 1.275438 0.735000
842 1.338457 0.752000
843 1.317274 0.724000
844 1.321164 0.729000
845 1.276651 0.730000
846 1.330631 0.744000
847 1.284203 0.742000
848 1.308938 0.744000
849 1.334708 0.739000
850 1.271996 0.726000
851 1.331525 0.742000
852 1.329245 0.740000
853 1.372246 0.734000
854 1.302202 0.728000
855 1.349983 0.746000
856 1.300575 0.732000
857 1.344141 0.738000
858 1.268227 0.721000
859 1.344577 0.734000
860 1.354142 0.735000
861 1.393278 0.724000
862 1.341675 0.734000
863 1.307299 0.717000
864 1.328689 0.724000
865 1.302982 0.725000
866 1.404778 0.739000
867 1.351590 0.738000
868 1.309437 0.729000
869 1.328952 0.721000
870 1.320513 0.727000
871 1.360622 0.741000
872 1.335041 0.728000
873 1.356555 0.741000
874 1.327117 0.739000
875 1.323588 0.730000
876 1.300380 0.721000
877 1.340491 0.728000
878 1.266264 0.733000
879 1.229023 0.717000
880 1.343320 0.738000
881 1.282403 0.733000
882 1.320816 0.739000
883 1.306060 0.731000
884 1.282609 0.731000
885 1.277061 0.727000
886 1.340740 0.744000
887 1.334432 0.735000
888 1.278124 0.729000
889 1.402380 0.738000
890 1.307753 0.746000
891 1.341975 0.734000
892 1.325781 0.711000
893 1.373105 0.737000
894 1.429315 0.734000
895 1.310921 0.728000
896 1.355053 0.734000
897 1.317616 0.741000
898 1.321126 0.736000
899 1.304199 0.733000
900 1.351811 0.757000
901 1.335453 0.735000
902 1.310846 0.727000
903 1.329078 0.734000
904 1.350326 0.745000
905 1.324384 0.734000
906 1.324579 0.727000
907 1.331181 0.734000
908 1.363569 0.730000
909 1.322738 0.731000
910 1.401050 0.736000
911 1.395860 0.736000
912 1.325467 0.739000
913 1.361194 0.748000
914 1.328232 0.716000
915 1.388199 0.752000
916 1.302124 0.740000
917 1.292585 0.740000
918 1.346597 0.743000
919 1.386156 0.740000
920 1.320086 0.748000
921 1.330095 0.756000
922 1.298216 0.724000
923 1.346935 0.755000
924 1.352460 0.754000
925 1.281153 0.739000
926 1.313928 0.748000
927 1.316531 0.733000
928 1.307108 0.729000
929 1.389456 0.752000
930 1.314758 0.742000
931 1.391388 0.756000
932 1.381694 0.749000
933 1.302624 0.739000
934 1.299304 0.755000
935 1.282061 0.743000
936 1.295026 0.765000
937 1.301838 0.752000
938 1.257163 0.748000
939 1.310515 0.751000
940 1.358160 0.755000
941 1.330507 0.755000
942 1.403361 0.765000
943 1.319494 0.749000
944 1.366910 0.766000
945 1.376837 0.751000
946 1.322278 0.763000
947 1.328179 0.762000
948 1.372062 0.763000
949 1.350679 0.751000
950 1.380984 0.752000
951 1.311581 0.743000
952 1.346545 0.755000
953 1.376904 0.757000
954 1.355669 0.768000
955 1.386306 0.774000
956 1.393657 0.758000
957 1.351605 0.769000
958 1.345892 0.775000
959 1.338426 0.757000
960 1.296756 0.769000
961 1.389220 0.773000
962 1.342700 0.756000
963 1.333780 0.765000
964 1.367823 0.775000
965 1.293678 0.767000
966 1.438101 0.776000
967 1.346458 0.773000
968 1.296565 0.773000
969 1.333503 0.771000
970 1.343434 0.767000
971 1.351837 0.768000
